canton,nom_clean,type,lits,lat,lon,ofs,commune,geo_source
Vaud,Gottaz Non Rip,EMS,33.0,46.16991424560547,6.075931549072266,5723,Mies,adresse
Vaud,Vernie,EMS,75.0,46.5780263,6.6033932,5586,Lausanne,OSM
Vaud,Prelaz,EMS,149.0,46.3866081237793,6.23645544052124,5724,Nyon,adresse
Vaud,Oasis Moudon,EMS,77.0,46.171287536621094,7.222367286682129,5402,Bex,adresse
Vaud,Rive Chateau,EMS,103.0,46.25398635864258,6.204068660736084,5723,Mies,adresse
Vaud,Grand-Pre,EMS,48.0,46.5498452,6.674802,5584,Epalinges,OSM
Vaud,Lembaz,EMS,50.0,46.76313400268555,6.8844404220581055,5831,Valbroye,adresse
Vaud,Parc De Beausobre,EMS,82.0,46.5161612,6.4978725,5642,Morges,OSM
Vaud,Jardins Leman,EMS,51.0,46.5414924621582,6.770887851715088,5604,Forel (Lavaux),adresse
Vaud,Chocolatiere,EMS,44.0,46.5378303527832,6.546320915222168,5633,Echandens,adresse
Vaud,Arbre De Vie,EMS,70.0,46.8197837,6.4949508,5568,Sainte-Croix,OSM
Vaud,Les Hirondelles,EMS,93.0,,,,,
Vaud,Rive Neuve,EMS,6.0,,,,,
Vaud,Chene,EMS,56.0,46.74111557006836,7.087912559509277,5830,Villarzel,adresse
Vaud,Rose Des Vents,EPSM,15.0,,,,,
Vaud,Cpse Alexandra,EPSM,17.0,,,,,
Vaud,Ruchonnet,EPSM,23.0,46.517791748046875,6.627490520477295,5586,Lausanne,adresse
Vaud,Vallon,EPSM,32.0,,,,,
Vaud,Borde,EPSM,25.0,46.52680587768555,6.633471488952637,5586,Lausanne,adresse
Vaud,Tilleuls,EPSM,27.0,46.928955078125,6.639471054077148,5566,Provence,adresse
Vaud,Clos Bercher,EPSM,27.0,46.688934326171875,6.7051849365234375,5512,Bercher,adresse
Vaud,Bru,EPSM,61.0,,,,,
Vaud,Colombiere,EPSM,15.0,46.39278030395508,6.804192543029785,5408,Noville,adresse
Vaud,Pre Carre,EPSM,18.0,,,,,
Vaud,Champ Fleuri,EPSM,38.0,46.77278518676758,7.075920581817627,5451,Avenches,adresse
Vaud,Maison Collonges,EPSM,15.0,46.17258834838867,7.034959316253662,5406,Lavey-Morcles,adresse
Vaud,Maison Orphee,EPSM,23.0,46.48439025878906,6.831766605377197,5882,Chardonne,adresse
Vaud,Rond Point,EPSM,43.0,46.6047455,6.2366961,5872,Le Chenit,OSM
Vaud,Sans Souci,EPSM,35.0,,,,,
Vaud,Myosotis,EPSM,32.0,46.799015045166016,6.6114115715026855,5933,Valeyres-sous-Montagny,adresse
Vaud,Sylvabelle,EPSM,26.0,,,,,
Vaud,Duc,EPSM,24.0,,,,,
Vaud,Aubepines,EPSM,18.0,46.64713668823242,6.637657642364502,5537,Villars-le-Terroir,adresse
Vaud,Midi Foyer,EPSM,12.0,,,,,
Vaud,Praz Sechaud Ii,EPSM,18.0,46.537845611572266,6.664053440093994,5586,Lausanne,adresse
Vaud,Terrasse,EPSM,24.0,46.4626579284668,6.846121788024902,5890,Vevey,adresse
Vaud,Residence Soleil,EPSM,40.0,,,,,
Vaud,Pommeraie,EPSM,13.0,46.17009353637695,7.1873393058776855,5402,Bex,adresse
Vaud,Bethel,EPSM,22.0,,,5758,La Praz,nom
Vaud,Escapade,EPSM,19.0,46.20183944702149,6.877373218536377,5402,Bex,adresse
