ofs,nom,canton,district,revenu_median_est,part_haut_revenu,nb_contribuables,coefficient,fortune_moy_chf,revenu_norm,coeff_norm,indice_pouvoir_achat
6641,Troinex,Genève,Genève,55597.0,27.8,1275.0,40.0,,35.01403631897535,57.692307692307686,38.7
5541,Goumoëns,Vaud,Gros-de-Vaud,65656.0,26.9,587.0,75.5,264755.0,57.07518203351171,79.72972972972973,38.7
5530,Pailly,Vaud,Gros-de-Vaud,66331.0,26.5,287.0,76.0,264755.0,58.55557505044302,81.08108108108108,38.7
2305,Schmitten (FR),Fribourg,Sense,59445.0,19.3,2382.0,77.0,,43.45337310290376,66.17647058823529,38.6
2233,Hauterive (FR),Fribourg,La Sarine,57352.0,20.2,1511.0,74.0,,38.86305816299676,61.76470588235294,38.5
5484,Gollion,Vaud,Morges,63637.0,22.8,556.0,74.0,471789.0,52.64716203175717,75.67567567567568,38.5
5521,Etagnières,Vaud,Gros-de-Vaud,62294.0,27.3,593.0,73.0,264755.0,49.70172822177384,72.97297297297297,38.4
5933,Valeyres-sous-Montagny,Vaud,Jura-Nord vaudois,59158.0,20.6,379.0,70.5,180436.0,42.82393192385297,66.21621621621621,38.3
2296,Heitenried,Fribourg,Sense,59846.0,17.9,806.0,78.0,,44.33283621370296,67.64705882352942,38.3
2122,Pont-en-Ogoz,Fribourg,La Gruyère,57671.0,20.6,1126.0,75.0,,39.562680936924295,63.23529411764706,38.2
5587,Le Mont-sur-Lausanne,Vaud,Lausanne,60915.0,26.7,4561.0,72.0,253297.0,46.677340117554174,70.27027027027027,38.2
5522,Fey,Vaud,Gros-de-Vaud,64625.0,26.2,385.0,75.0,264755.0,54.814018773576635,78.37837837837837,38.2
2321,Attalens,Fribourg,La Veveyse,59949.0,23.3,2001.0,78.5,,44.558733222212474,68.38235294117648,38.1
2306,Tafers,Fribourg,Sense,57385.0,18.3,4459.0,75.0,,38.9354329327134,63.23529411764706,37.9
5475,Chavannes-le-Veyron,Vaud,Morges,66667.0,25.7,74.0,77.0,471789.0,59.29248179664883,83.78378378378379,37.8
5806,Jorat-Mézières,Vaud,Lavaux-Oron,59204.0,22.6,1698.0,71.0,563599.0,42.92481796648829,67.56756756756756,37.7
5629,Clarmont,Vaud,Morges,60228.0,15.1,126.0,72.0,471789.0,45.17062900254408,70.27027027027027,37.5
5790,Maracon,Vaud,Lavaux-Oron,63345.0,25.6,297.0,74.5,563599.0,52.00675497850688,77.02702702702703,37.5
5902,Belmont-sur-Yverdon,Vaud,Jura-Nord vaudois,57813.0,17.4,247.0,70.0,180436.0,39.87411176418984,64.86486486486487,37.5
5491,Mont-la-Ville,Vaud,Morges,65196.0,25.8,240.0,76.0,471789.0,56.06632160715852,81.08108108108108,37.5
