ofs,nom,district,note_pouvoir_achat,note_population,note_tension_ems,indice_pouvoir_achat,pop_80plus,pop_zone_80plus,part_80plus,dist_ems_km,lits_pour_100_district,prix_m2_appart,prix_fiabilite
5885,Jongny,Riviera-Pays-d'Enhaut,2.48,3.5,1.62,49.5,88.0,7150,4.6,0.37,17.4,16071.0,annonces (surface estimée)
5914,Ependes (VD),Jura-Nord vaudois,1.44,2.78,2.2,28.7,19.0,3631,5.0,4.76,17.0,9006.0,indicative (1-4)
6605,Bardonnex,Genève,1.73,4.89,3.04,34.6,136.0,26176,5.3,1.82,12.4,7208.0,indicative (1-4)
6642,Vandoeuvres,Genève,3.34,4.94,3.08,66.9,146.0,27455,4.8,2.22,12.4,18439.0,solide (5+)
2086,Massonnens,La Glâne,1.17,2.03,1.47,23.4,17.0,1809,2.9,5.4,20.2,,
2147,Pont-la-Ville,La Gruyère,2.06,2.3,1.31,41.2,21.0,2320,3.5,3.41,20.0,,
2149,La Roche,La Gruyère,1.29,2.23,1.01,25.8,73.0,2178,3.7,0.66,20.0,,
2155,Vaulruz,La Gruyère,1.69,2.31,1.26,33.8,59.0,2352,5.2,3.02,20.0,,
2294,Giffers,Sense,1.4,3.18,2.48,28.1,87.0,5285,5.1,1.28,14.4,,
2306,Tafers,Sense,1.9,3.15,2.54,37.9,464.0,5164,5.8,1.83,14.4,,
2307,Tentlingen,Sense,1.4,3.32,2.46,28.1,79.0,6048,5.7,1.06,14.4,,
2321,Attalens,La Veveyse,1.9,3.48,1.21,38.1,139.0,6992,3.8,1.65,19.6,,
5427,Féchy,Morges,3.1,2.36,4.24,62.0,35.0,2449,3.8,4.55,8.8,19032.0,annonces (surface estimée)
5531,Penthéréaz,Gros-de-Vaud,1.6,2.36,2.74,31.9,14.0,2449,3.3,2.68,14.0,4146.0,estimé (voisinage)
5556,Fiez,Jura-Nord vaudois,1.74,2.54,2.02,34.9,18.0,2918,4.2,3.11,17.0,7977.0,estimé (voisinage)
5566,Provence,Jura-Nord vaudois,0.38,0.07,2.18,7.6,31.0,286,7.6,4.59,17.0,7905.0,estimé (voisinage)
5613,Bourg-en-Lavaux,Lavaux-Oron,2.76,4.13,3.75,55.2,339.0,12927,6.2,1.14,9.3,15509.0,solide (5+)
5627,Chavannes-près-Renens,Ouest lausannois,0.8,4.52,1.5,16.1,272.0,18519,2.8,0.85,18.1,11420.0,estimé (voisinage)
5684,Rossenges,Broye-Vully,2.26,2.07,1.96,45.1,9.0,1873,9.9,2.45,17.0,5865.0,estimé (voisinage)
5785,Corcelles-le-Jorat,Broye-Vully,1.31,2.81,2.09,26.1,21.0,3738,4.2,3.69,17.0,7567.0,annonces (surface estimée)
5929,Suchy,Jura-Nord vaudois,2.15,2.81,2.24,43.0,12.0,3736,1.8,5.07,17.0,7704.0,indicative (1-4)
5402,Bex,Aigle,1.06,1.41,0.6,21.3,495.0,1007,5.6,5.44,23.7,7468.0,solide (5+)
5424,Berolle,Morges,1.32,1.84,4.62,26.4,13.0,1501,4.3,7.95,8.8,8969.0,estimé (voisinage)
5426,Bougy-Villars,Morges,2.56,2.54,4.1,51.2,25.0,2918,4.9,3.27,8.8,7450.0,indicative (1-4)
5609,Rivaz,Lavaux-Oron,2.38,3.37,3.89,47.6,38.0,6300,11.6,2.45,9.3,7857.0,annonces (surface estimée)
5702,Arzier-Le Muids,Nyon,2.26,1.45,4.44,45.1,97.0,1043,3.3,11.45,11.0,13456.0,indicative (1-4)
5730,Trélex,Nyon,3.47,2.81,3.62,69.4,75.0,3759,5.3,3.85,11.0,6892.0,indicative (1-4)
5873,Le Lieu,Jura-Nord vaudois,1.59,0.61,2.46,31.8,60.0,475,6.5,7.1,17.0,6253.0,estimé (voisinage)
5930,Suscévaz,Jura-Nord vaudois,1.82,2.71,2.16,36.3,10.0,3407,4.3,4.33,17.0,5986.0,estimé (voisinage)
5934,Valeyres-sous-Ursins,Jura-Nord vaudois,1.25,2.81,2.04,25.0,18.0,3727,7.7,3.27,17.0,7936.0,annonces (surface estimée)
6607,Bernex,Genève,1.36,4.84,2.96,27.1,713.0,25153,6.4,1.11,12.4,10489.0,solide (5+)
6627,Laconnex,Genève,2.22,3.92,3.04,44.4,45.0,10539,6.4,1.85,12.4,10773.0,annonces (surface estimée)
2239,Grolley-Ponthaux,La Sarine,,3.35,1.78,,,6235,,5.68,19.1,,
2274,Muntelier,See,3.1,2.32,2.34,61.9,57.0,2353,5.8,1.61,15.1,,
2173,Autigny,La Sarine,1.22,2.47,1.32,24.4,22.0,2732,2.6,1.5,19.1,,
2053,Belmont-Broye,La Broye,1.58,2.51,2.78,31.6,202.0,2832,3.3,4.29,14.5,,
2122,Pont-en-Ogoz,La Gruyère,1.91,2.55,1.32,38.2,81.0,2925,4.0,3.6,20.0,,
2226,Treyvaux,La Sarine,1.58,3.19,1.5,31.7,77.0,5321,4.7,3.1,19.1,,
5512,Bercher,Gros-de-Vaud,1.18,2.03,2.48,23.7,62.0,1803,4.6,0.31,14.0,8067.0,estimé (voisinage)
5527,Morrens (VD),Gros-de-Vaud,1.74,4.28,2.7,34.9,60.0,14788,5.2,2.41,14.0,7895.0,annonces (surface estimée)
5530,Pailly,Gros-de-Vaud,1.94,2.77,2.74,38.7,18.0,3619,3.1,2.7,14.0,9225.0,indicative (1-4)
